,temperature,humidity,description,timestamp
0,28.81,15,broken clouds,2026-03-09 18:00:00
1,27.77,17,broken clouds,2026-03-09 21:00:00
2,25.64,19,scattered clouds,2026-03-10 00:00:00
3,26.35,19,broken clouds,2026-03-10 03:00:00
4,32.63,12,broken clouds,2026-03-10 06:00:00
5,36.33,7,broken clouds,2026-03-10 09:00:00
6,35.76,6,broken clouds,2026-03-10 12:00:00
7,32.72,9,broken clouds,2026-03-10 15:00:00
8,29.43,11,broken clouds,2026-03-10 18:00:00
9,26.79,13,scattered clouds,2026-03-10 21:00:00
10,24.8,15,scattered clouds,2026-03-11 00:00:00
11,26.95,13,scattered clouds,2026-03-11 03:00:00
12,34.51,8,broken clouds,2026-03-11 06:00:00
13,38.05,5,overcast clouds,2026-03-11 09:00:00
14,35.94,6,overcast clouds,2026-03-11 12:00:00
15,31.91,8,overcast clouds,2026-03-11 15:00:00
16,29.16,8,overcast clouds,2026-03-11 18:00:00
17,26.72,8,broken clouds,2026-03-11 21:00:00
18,24.86,8,overcast clouds,2026-03-12 00:00:00
19,26.79,7,overcast clouds,2026-03-12 03:00:00
20,33.51,5,overcast clouds,2026-03-12 06:00:00
21,37.73,5,broken clouds,2026-03-12 09:00:00
22,36.49,7,broken clouds,2026-03-12 12:00:00
23,32.46,11,clear sky,2026-03-12 15:00:00
24,30.42,12,clear sky,2026-03-12 18:00:00
25,27.6,15,scattered clouds,2026-03-12 21:00:00
26,25.1,17,few clouds,2026-03-13 00:00:00
27,27.75,16,clear sky,2026-03-13 03:00:00
28,34.5,13,clear sky,2026-03-13 06:00:00
29,37.22,9,few clouds,2026-03-13 09:00:00
30,36.6,8,few clouds,2026-03-13 12:00:00
31,32.1,11,broken clouds,2026-03-13 15:00:00
32,29.87,12,broken clouds,2026-03-13 18:00:00
33,27.81,14,overcast clouds,2026-03-13 21:00:00
34,25.77,14,overcast clouds,2026-03-14 00:00:00
35,27.05,12,overcast clouds,2026-03-14 03:00:00
36,33.94,9,overcast clouds,2026-03-14 06:00:00
37,36.93,7,overcast clouds,2026-03-14 09:00:00
38,35.75,7,overcast clouds,2026-03-14 12:00:00
39,32.17,9,overcast clouds,2026-03-14 15:00:00
