,Company Name,Ratings,Description,Comparison,Reviews,Salary,Interviews,Jobs,Benefits
0,TCS,3.3,IT Services & Consulting | Bangalore / Bengaluru +437 other locations,"Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",1.1L Reviews,9.7L Salaries,11.7k Interviews,3k Jobs,10.6k Benefits
1,Accenture,3.7,IT Services & Consulting | Bangalore / Bengaluru +255 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",70.9k Reviews,6.4L Salaries,9.1k Interviews,36.6k Jobs,6.7k Benefits
2,Wipro,3.6,IT Services & Consulting | Hyderabad / Secunderabad +370 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",62.9k Reviews,4.7L Salaries,6.5k Interviews,5.7k Jobs,4.6k Benefits
3,Cognizant,3.6,IT Services & Consulting | Hyderabad / Secunderabad +229 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",59.8k Reviews,5.9L Salaries,6.3k Interviews,681 Jobs,5.5k Benefits
4,Capgemini,3.7,IT Services & Consulting | Bangalore / Bengaluru +183 other locations,"Highly Rated For Work Life Balance, Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",51.4k Reviews,4.7L Salaries,5.4k Interviews,1.9k Jobs,3.6k Benefits
5,HDFC Bank,3.8,Banking | Mumbai +1817 other locations,"Highly Rated For Job Security, Skill Development / Learning  Critically Rated For Promotions / Appraisal, Salary & Benefits",50.4k Reviews,1.5L Salaries,2.8k Interviews,215 Jobs,3.2k Benefits
6,Infosys,3.5,IT Services & Consulting | Bangalore / Bengaluru +246 other locations,"Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",47k Reviews,5.2L Salaries,8.3k Interviews,2.3k Jobs,4.8k Benefits
7,ICICI Bank,4.0,Banking | Mumbai +1436 other locations,"Highly Rated For Job Security, Promotions / Appraisal, Skill Development / Learning",45.1k Reviews,1.5L Salaries,2.8k Interviews,23 Jobs,3.7k Benefits
8,HCLTech,3.4,IT Services & Consulting | Chennai +226 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",44.3k Reviews,3.7L Salaries,4.4k Interviews,201 Jobs,3.8k Benefits
9,Tech Mahindra,3.4,IT Services & Consulting | Hyderabad / Secunderabad +336 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",42.2k Reviews,2.8L Salaries,4.4k Interviews,389 Jobs,3.4k Benefits
10,Genpact,3.6,IT Services & Consulting | Hyderabad / Secunderabad +182 other locations,"Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",40.6k Reviews,2.3L Salaries,3.7k Interviews,475 Jobs,3.5k Benefits
11,Teleperformance,3.8,BPO | Mumbai +254 other locations,Critically Rated For Promotions / Appraisal,36.4k Reviews,95.5k Salaries,2.1k Interviews,1.1k Jobs,1.8k Benefits
12,Axis Bank,3.6,Banking | Mumbai +1497 other locations,"Critically Rated For Promotions / Appraisal, Work Satisfaction, Company Culture",32.2k Reviews,1L Salaries,1.8k Interviews,191 Jobs,2.1k Benefits
13,Jio,4.3,Telecom | Mumbai +1866 other locations,"Highly Rated For Job Security, Work Life Balance, Skill Development / Learning",31.7k Reviews,62.4k Salaries,3.5k Interviews,3 Jobs,2.5k Benefits
14,Concentrix Corporation,3.6,BPO | Bangalore / Bengaluru +179 other locations,"Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",31.4k Reviews,1.3L Salaries,1.9k Interviews,61 Jobs,3.1k Benefits
15,Amazon,3.9,Internet | Bangalore / Bengaluru +521 other locations,"Highly Rated For Company Culture, Work Life Balance, Salary & Benefits  Critically Rated For Promotions / Appraisal",30.6k Reviews,1.5L Salaries,5.7k Interviews,1.5k Jobs,4.1k Benefits
16,iEnergizer,4.6,BPO | Noida +51 other locations,"Highly Rated For Company Culture, Work Life Balance, Work Satisfaction",27.4k Reviews,23.9k Salaries,1k Interviews,54 Jobs,430 Benefits
17,Reliance Retail,3.9,Retail | Mumbai +1149 other locations,"Highly Rated For Job Security, Skill Development / Learning, Work Life Balance  Critically Rated For Promotions / Appraisal",26.9k Reviews,74.4k Salaries,1.9k Interviews,86 Jobs,1.9k Benefits
18,LTIMindtree,3.6,IT Services & Consulting | Bangalore / Bengaluru +146 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",25.6k Reviews,1.9L Salaries,3.3k Interviews,409 Jobs,776 Benefits
19,IBM,3.9,IT Services & Consulting | Bangalore / Bengaluru +160 other locations,"Highly Rated For Work Life Balance, Company Culture, Job Security  Critically Rated For Promotions / Appraisal",25.3k Reviews,2.1L Salaries,2.6k Interviews,2.8k Jobs,2.6k Benefits
20,HDB Financial Services,3.9,NBFC | Mumbai +1086 other locations,"Highly Rated For Job Security, Skill Development / Learning  Critically Rated For Promotions / Appraisal, Salary & Benefits",25k Reviews,50k Salaries,1k Interviews,159 Jobs,1.5k Benefits
21,Larsen & Toubro Limited,3.9,Engineering & Construction | Chennai +753 other locations,"Highly Rated For Job Security, Skill Development / Learning  Critically Rated For Promotions / Appraisal, Work Life Balance",23.1k Reviews,73.8k Salaries,1.8k Interviews,173 Jobs,2.8k Benefits
